id_mhs,list matkul,rekomendasi matkul
13510004,"IF4070-2013, KU2061-2013, TL4103-2013, IF4033-2013, IF4061-2013","IF4050-2013, IF4031-2013, IF2112-2013, KU4094-2013, AS2005-2013, IF4020-2013, IF4072-2013, BI2001-2013, KU4078-2013, DK3016-2013, DK3014-2013, IF4071-2013, IF4042-2013, IF4073-2013, KU4079-2013, IF4021-2013, IF4041-2013, KU4012-2013, IF4043-2013, TI3004-2013, IF4040-2013, KU2062-2013, DK4206-2013, TL2105-2013, TL4002-2013, KU4072-2013, IF3159-2019, IF4074-2019, BI2001-2019, IF4150-2019, IF4061-2019, IF4072-2019, IF4043-2019, IF4031-2019, IF4041-2019, IF4052-2019, IF4071-2019, IF4021-2019"
13510005,"IF4043-2013, TL4103-2013, IF4033-2013, IF4041-2013, II4034-2013, II4062-2013","IF4050-2013, KU4079-2013, DK3014-2013, AS2005-2013, KU4273-2013, IF4061-2013, KU4078-2013"
13510006,"IF4060-2013, IF4070-2013, IF4033-2013, IF4061-2013","DK3016-2013, IF4072-2013, IF4042-2013, IF2112-2013, KU4079-2013, IF4021-2013, IF4050-2013, IF4031-2013, KU2061-2013, IF4041-2013, AS2005-2013, IF4020-2013, IF4071-2013, KU4078-2013, KU4012-2013, DK3014-2013, IF4073-2013, KU2062-2013, IF4043-2013, DK4206-2013, TL2105-2013, IF4040-2013, TL4103-2013, TI3004-2013, TL4002-2013, BI2001-2013, KU4072-2013"
13510007,"IF4031-2013, IF4070-2013, IF4072-2013, TL4002-2013, IF4020-2013, IF4033-2013, IF4073-2013","IF4071-2013, DK4206-2013, KU2061-2013, IF4050-2013, IF2112-2013, AS2005-2013, TL4103-2013"
13510008,"IF4072-2013, TL4002-2013","IF4071-2013, AS2005-2013, DK4206-2013, KU4072-2013, IF4020-2013, TI3004-2013, KU4273-2013"
13510009,"IF4031-2013, IF5020-2013, IF5192-2013, IF4033-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4020-2013, KU4079-2013, IF4071-2013, AS2005-2013"
13510010,"IF4072-2013, IF4033-2013, IF4061-2013","AS2005-2013, IF4071-2013, IF4031-2013, KU2061-2013, DK3014-2013, KU4079-2013, KU2062-2013"
13510011,"IF4060-2013, TL4103-2013, IF4040-2013","IF4042-2013, IF4041-2013, IF4061-2013, BI2001-2013, KU2061-2013, IF4031-2013, IF4043-2013, KU4078-2013, IF4050-2013, KU4012-2013, AS2005-2013, IF4073-2013, IF4071-2013, IF4072-2013, IF4021-2013, KU4079-2013, DK3016-2013, IF4033-2013, IF4020-2013, IF4070-2013, DK3014-2013, KU4072-2013, KU2062-2013"
13510012,"IF4072-2013, IF4033-2013, IF4061-2013","AS2005-2013, IF4071-2013, IF4031-2013, KU2061-2013, DK3014-2013, KU4079-2013, KU2062-2013"
13510013,"IF4072-2013, IF4033-2013, IF4061-2013","AS2005-2013, IF4071-2013, IF4031-2013, KU2061-2013, DK3014-2013, KU4079-2013, KU2062-2013"
13510014,"IF4071-2013, IF4072-2013, IF5172-2013, IF5170-2013, IF5173-2013, IF5174-2013, IF5175-2013","AS2005-2013, DK3014-2013, KU4072-2013, KU2061-2013, DK4206-2013, KU4079-2013, KU4273-2013"
13510015,"IF4043-2013, IF4060-2013, KU4012-2013, KU4078-2013, TL4002-2013, DK3014-2013, IF4040-2013, IF4061-2013","IF4050-2013, KU4079-2013, IF4071-2013, IF2112-2013, AS2005-2013, KU4273-2013, IF4072-2013, BI2001-2013, KU2061-2013, IF4041-2013, IF4031-2013, KU2062-2013, DK3016-2013, KU2063-2013, IF4042-2013, KU4072-2013, TI3004-2013, IF4021-2013, IF4070-2013, KU2065-2013, DK4206-2013, TL4103-2013, IF4073-2013, IF4033-2013, KU4095-2013, IF4020-2013, KU4182-2013, KU4183-2013"
13510016,"IF4060-2013, KU4012-2013, TL4103-2013, IF4033-2013, IF4040-2013, IF4041-2013, IF4061-2013","DK3014-2013, BI2001-2013, IF4042-2013, AS2005-2013, IF4072-2013, TI3004-2013, IF4071-2013"
13510017,IF4031-2013,"IF4033-2013, IF4050-2013, KU2061-2013, KU4079-2013, IF4071-2013, IF4020-2013, AS2005-2013"
13510018,"IF4071-2013, IF4072-2013, KU4012-2013, IF4061-2013","DK3014-2013, IF2112-2013, BI2001-2013, IF4070-2013, AS2005-2013, KU2062-2013, KU2061-2013"
13510019,"IF4072-2013, IF4061-2013","IF4071-2013, AS2005-2013, KU2062-2013, DK3014-2013, DK4206-2013, TI3004-2013, BI2001-2013"
13510020,"IF4060-2013, IF4072-2013, IF4061-2013","IF4071-2013, AS2005-2013, KU2062-2013, DK3014-2013, DK4206-2013, TI3004-2013, BI2001-2013"
