id_mhs,list matkul,rekomendasi matkul
13513072,"BI2001-2013, IF4043-2013, IF4070-2013, IF4071-2013, KU2063-2013, KU4012-2013, KU4079-2013, KU4095-2013, DK3014-2013, IF4050-2013, KU4070-2013","IF4033-2013, AS2005-2013, KU4078-2013, IF4031-2013, KU2061-2013, IF4042-2013, IF2112-2013"
13513073,"IF4071-2013, IF4072-2013, KU2062-2013, KU4078-2013, KU4193-2013, IF4020-2013, IF4033-2013, KU4182-2013, KU4225-2013, AS2005-2013, MB4042-2013","KU4079-2013, IF4031-2013, KU2061-2013, IF4150-2019, IF4041-2019, IF4041-2013, DK3014-2013"
13513074,"IF4043-2013, KU2061-2013, KU4012-2013, KU4078-2013, KU4079-2013, IF4040-2013, IF4041-2013, IF4061-2013, AS2005-2013, IF4050-2013","IF4033-2013, IF4031-2013, IF2112-2013, KU4273-2013, IF4071-2013, DK3014-2013, DK3016-2013"
13513075,"IF4043-2013, IF4070-2013, II4022-2013, II4033-2013, II4033-2013, KU2061-2013, TL4002-2013, IF4021-2013, IF4033-2013, IF4033-2013, IF4041-2013, IF4061-2013, KU4214-2013, KU4225-2013, MK3011-2013, II4032-2013, II4032-2013, SR3206-2013, IF4051-2013","IF4050-2013, IF4031-2013, IF2112-2013, KU4094-2013, DK3014-2013, KU4079-2013, AS2005-2013, KU4273-2013, IF4020-2013, IF4072-2013, BI2001-2013, KU4078-2013, DK3016-2013, IF4071-2013, IF4042-2013, IF4040-2013, IF4073-2013, TI3004-2013, KU2063-2013, KU4072-2013, KU4012-2013, KU2062-2013, KU4095-2013, KU4182-2013, DK4206-2013, TL2105-2013, TL4103-2013, KU4183-2013, IF3159-2019, IF4074-2019, BI2001-2019, IF4150-2019, IF4061-2019, IF4072-2019, IF4043-2019, IF4031-2019, IF4041-2019, IF4052-2019, IF4071-2019, IF4021-2019"
13513076,"IF4070-2013, IF4071-2013, IF4072-2013, KU2065-2013, KU4193-2013, TL2105-2013, DK3014-2013, DK3016-2013, IF4040-2013, KU4294-2013, KU4291-2013","IF4042-2013, IF2112-2013, IF4021-2013, IF4061-2013, KU2061-2013, IF4050-2013, AS2005-2013, KU4273-2013, DK4206-2013, KU4012-2013, TI3004-2013, IF4031-2013, KU2062-2013, IF4041-2013, IF4033-2013, KU4078-2013, KU4072-2013, IF4073-2013, BI2001-2013, KU4079-2013, IF4043-2013, IF4020-2013, TL4002-2013, IF4052-2019, TL4103-2013, KU2063-2013, IF3159-2019, IF4150-2019, IF4041-2019, IF4074-2019, IF4061-2019"
13513077,"IF4043-2013, IF4071-2013, KU2065-2013, KU4012-2013, KU4078-2013, KU4079-2013, TI3005-2013, IF4041-2013, IF4061-2013, KU4183-2013, AS2005-2013, IF4050-2013, TI3004-2013, TI3006-2013, TI3001-2013, TI3002-2013","KU4273-2013, IF4072-2013, IF4031-2013, KU2061-2013, IF4033-2013, DK3014-2013, IF4150-2019, IF4061-2019, IF4074-2019, IF4071-2019, KU2062-2013, IF4072-2019, IF4041-2019, IF2112-2013, KU2063-2013, DK3016-2013, KU4072-2013, BI2001-2013, IF4040-2013, KU4182-2013, DK4206-2013, IF4043-2019, IF4070-2013, IF4020-2013, IF4031-2019, IF4042-2013, IF4021-2013, KU4095-2013, TL4103-2013, IF4073-2013, TL4002-2013, KU4070-2013, KU4071-2013, TL2105-2013, IF4052-2019, IF3159-2019"
13513078,"IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4078-2013, KU4079-2013, DK3014-2013, KU4225-2013, AS2005-2013, IF4050-2013, AR4232-2013, KU4070-2013","IF4033-2013, IF4031-2013, IF2112-2013, KU4273-2013, IF4061-2013, IF4041-2013, KU2062-2013"
13513079,"BI2001-2013, IF4031-2013, IF4071-2013, KU2062-2013, KU4012-2013, KU4078-2013, DK3014-2013, DK4206-2013, IF4061-2013, IF4050-2013, KU4072-2013, KU4070-2013","AS2005-2013, IF4072-2013, IF4073-2013, KU2061-2013, IF4033-2013, KU4079-2013, IF2112-2013"
13513080,"IF4043-2013, IF4070-2013, IF4071-2013, KU2061-2013, KU4078-2013, TL4002-2013, DK3014-2013, DK4204-2013, IF4073-2013, SR4204-2013","IF2112-2013, DK4206-2013, IF4072-2013, KU4094-2013, AS2005-2013, KU4079-2013, IF4031-2013"
13513081,"IF4031-2013, IF4031-2013, IF4043-2013, IF4070-2013, KU2062-2013, DK3014-2013, IF4021-2013, IF4033-2013, IF4040-2013, IF4041-2013, KU4182-2013, KU4183-2013, AS2005-2013, AS2005-2013, KU4281-2013, MA2011-2013, KU4072-2013","IF2112-2013, KU4273-2013, IF4061-2013, IF4042-2013, DK3016-2013, IF4050-2013, KU2061-2013"
13513082,"IF4031-2013, IF4070-2013, II4033-2013, KU2061-2013, KU4078-2013, DK3014-2013, DK3016-2013, IF4073-2013, IF4073-2013, AS2005-2013","IF4071-2013, IF4042-2013, IF2112-2013, IF4072-2013, KU4079-2013, IF4033-2013, IF4050-2013"
13513083,"IF4031-2013, IF4071-2013, IF4072-2013, KU2063-2013, DK4206-2013, IF4020-2013, IF4033-2013, IF4040-2013, AS2005-2013, IF4050-2013","IF2112-2013, KU2061-2013, KU4072-2013, IF4073-2013, DK3014-2013, KU4079-2013, IF4061-2013"
13513084,"IF4071-2013, IF4072-2013, KU2061-2013, TL2105-2013, DK3014-2013, DK3016-2013, IF4061-2013, KU4273-2013, IF4050-2013, TI3004-2013, DP4206-2013","IF4042-2013, IF2112-2013, IF4033-2013, IF4031-2013, AS2005-2013, IF4043-2013, IF4041-2013"
13513085,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4012-2013, DK3014-2013, DK4206-2013, IF4020-2013, IF4033-2013, IF4061-2013, IF4073-2013, AS2005-2013, AR3231-2013","IF4050-2013, IF2112-2013, KU4072-2013, KU4273-2013, KU4079-2013, KU4078-2013, TI3004-2013"
13513086,"BI2001-2013, IF4043-2013, IF4071-2013, KU2062-2013, KU4012-2013, KU4095-2013, KU4190-2013, DK3014-2013, IF4021-2013, IF4050-2013","IF4042-2013, IF2112-2013, DK3016-2013, IF4061-2013, IF4070-2013, KU4079-2013, KU4273-2013"
13513087,"IF4031-2013, IF4071-2013, KU2062-2013, KU4012-2013, KU4079-2013, DK3014-2013, IF4020-2013, IF4041-2013, IF4061-2013, AS2005-2013","IF4033-2013, KU4078-2013, IF4072-2013, KU2061-2013, TI3004-2013, KU4273-2013, IF2112-2013"
13513088,"KU2061-2013, KU4079-2013, DK3014-2013, DK3016-2013, IF4020-2013, IF4021-2013, IF4040-2013, IF4061-2013, KU4182-2013, SR4204-2013, TI4004-2013, AS2005-2013, TI3004-2013, DP4202-2013","IF4042-2013, IF2112-2013, IF4071-2013, IF4072-2013, KU4078-2013, IF4031-2013, IF4041-2013"
13513089,"IF4031-2013, IF4031-2013, IF4070-2013, IF4071-2013, KU2063-2013, TL4002-2013, DK4206-2013, IF4020-2013, IF4021-2013, IF4021-2013, IF4061-2013, KU4072-2013, MA2022-2013, IF4051-2013","AS2005-2013, IF4072-2013, IF4073-2013, KU2061-2013, DK3014-2013, IF2112-2013, IF4042-2013"
13513090,"IF4031-2013, IF4070-2013, IF4071-2013, KU2062-2013, KU4012-2013, TL2105-2013, DK3014-2013, IF4020-2013, IF4050-2013, TI3004-2013","IF2112-2013, AS2005-2013, IF4041-2013, IF4072-2013, IF4033-2013, KU2061-2013, IF4042-2013"
13513091,"IF4070-2013, IF4071-2013, KU2062-2013, KU4078-2013, DK3014-2013, IF4020-2013, IF4021-2013, IF4073-2013, AS2005-2013, TI3004-2013","IF2112-2013, IF4041-2013, IF4072-2013, IF4042-2013, DK3016-2013, IF4031-2013, KU2061-2013"
13513092,"IF4043-2013, KU2061-2013, KU4078-2013, KU4079-2013, IF4020-2013, IF4021-2013, IF4033-2013, IF4040-2013, IF4061-2013, AS2005-2013","IF4031-2013, KU4273-2013, IF4071-2013, IF4050-2013, IF2112-2013, IF4041-2013, IF4072-2013"
13513093,"IF4070-2013, IF4071-2013, IF4072-2013, KU2062-2013, KU4012-2013, KU4078-2013, DK3014-2013, DK3016-2013, DK4206-2013, IF4061-2013, AS2005-2013","IF4042-2013, IF2112-2013, KU4072-2013, IF4021-2013, IF4073-2013, KU2061-2013, KU4079-2013, IF4031-2013, KU4273-2013, TL2105-2013, IF4041-2013, IF4043-2013, IF4050-2013, TI3004-2013, KU2065-2013, BI2001-2013, IF4033-2013, KU4183-2013, IF4020-2013, IF4040-2013, KU2063-2013, IF4150-2019, IF4031-2019, TL4103-2013, IF4043-2019, IF4074-2019, IF4072-2019, TL4002-2013, KU4070-2013, KU4182-2013, KU4184-2013, KU4071-2013, IF4052-2019, IF4071-2019, IF4041-2019, IF3159-2019, IF4061-2019"
13513094,"IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4012-2013, KU4078-2013, DK3014-2013, DK3016-2013, IF4061-2013, AS2005-2013, IF4050-2013, TI3004-2013","IF4042-2013, IF2112-2013, IF4033-2013, IF4031-2013, KU4273-2013, IF4041-2013, IF4021-2013"
13513095,"IF4031-2013, IF4071-2013, IF4072-2013, KU2065-2013, KU4012-2013, KU4079-2013, KU4095-2013, DK3014-2013, IF4061-2013, AS2005-2013, IF4050-2013, DP3111-2013, AR4232-2013","IF4033-2013, KU4078-2013, IF2112-2013, KU2061-2013, KU4273-2013, IF4043-2013, TI3004-2013"
13513096,"IF4070-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4012-2013, KU4172-2013, DK4206-2013, IF4020-2013, AS2005-2013, TI3004-2013, AR4232-2013","KU4072-2013, IF4073-2013, IF4041-2013, IF4031-2013, DK3014-2013, KU4094-2013, KU4079-2013, KU4078-2013, IF4061-2013, IF4033-2013, IF2112-2013, DK3016-2013, KU4273-2013, BI2001-2013, IF4042-2013, KU2062-2013, KU2065-2013, IF4050-2013, IF4021-2013, IF4043-2013, KU4070-2013, KU2063-2013, KU4182-2013, TL4103-2013, TL4002-2013, TL2105-2013, KU4071-2013, KU4183-2013, IF4150-2019, IF4072-2019, IF4074-2019, IF4071-2019, IF4040-2013, IF4043-2019, IF4031-2019, IF4061-2019, IF3159-2019, IF4041-2019, BI2001-2019, IF4052-2019, IF4021-2019"
13514001,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4078-2013, KU4079-2013, IF4020-2013, IF4033-2013, IF4040-2013, IF4073-2013, KU4182-2013, AS2005-2013, IF4050-2013","IF2112-2013, DK4206-2013, DK3014-2013, IF4150-2019, IF4043-2013, IF4041-2019, IF4041-2013"
13514002,"IF4031-2013, IF4071-2013, IF4072-2013, IF5192-2013, KU2062-2013, KU4079-2013, KU4184-2013, DK3014-2013, IF4020-2013, IF5193-2013, IF5194-2013, AS2005-2013, IF5190-2013, IF4051-2013","IF4033-2013, KU4078-2013, KU2061-2013, KU4273-2013, TI3004-2013, IF4061-2013, KU4072-2013"
13514003,"IF4031-2013, IF4071-2013, KU2062-2013, DK3014-2013, DK4206-2013, IF4040-2013, IF4061-2013, IF4073-2013, AS2005-2013, IF4050-2013","KU4072-2013, IF4072-2013, IF2112-2013, KU2061-2013, IF4033-2013, KU4273-2013, KU4079-2013"
13514004,"IF4031-2013, IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4079-2013, IF4033-2013, IF4040-2013, AS2005-2013, IF4050-2013, KU4072-2013","IF2112-2013, DK4206-2013, KU4078-2013, KU4273-2013, IF4061-2013, IF4020-2013, DK3014-2013"
13514005,"IF4070-2013, IF4071-2013, KU2061-2013, DK3016-2013, DK4206-2013, IF4040-2013, IF4041-2013, IF4073-2013, AS2005-2013, IF4051-2013, TL4233-2013","DK3014-2013, IF4072-2013, IF2112-2013, KU4072-2013, IF4042-2013, IF4021-2013, TI3004-2013"
13514006,"IF4031-2013, IF4071-2013, KU2061-2013, KU4078-2013, KU4079-2013, IF4020-2013, IF4033-2013, IF4061-2013, AS2005-2013, IF4050-2013, TI3004-2013","IF2112-2013, IF4041-2013, IF4072-2013, DK3014-2013, IF4043-2013, IF4073-2013, KU4072-2013"
13514007,"IF4031-2013, IF4070-2013, IF4071-2013, II4033-2013, KU2062-2013, DK3016-2013, DK4206-2013, IF4040-2013, IF4061-2013, AS2005-2013, KU4094-2013","IF2112-2013, KU2061-2013, DK3014-2013, IF4072-2013, KU4072-2013, IF4042-2013, IF4021-2013"
13514008,"IF4043-2013, IF4071-2013, KU2061-2013, KU4078-2013, KU4172-2013, DK3016-2013, IF4041-2013, IF4073-2013, KU4273-2013, AS2005-2013, KU4072-2013","DK3014-2013, IF4072-2013, IF2112-2013, IF4042-2013, IF4061-2013, DK4206-2013, IF4021-2013"
13514009,"IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4079-2013, KU4172-2013, DK3014-2013, IF4061-2013, KU4182-2013, AS2005-2013, KU4070-2013","KU4078-2013, IF4031-2013, KU4273-2013, IF4033-2013, IF4150-2019, IF4050-2013, IF4041-2019"
13514010,"IF4071-2013, IF4072-2013, KU2065-2013, KU4078-2013, IF4021-2013, AS2005-2013, IF4050-2013, AS2005-2019, IF4031-2019, IF4031-2019, IF4041-2019, IF4073-2019, IF4150-2019, IF4150-2019, IF4020-2019, IF4051-2019","KU4182-2013, IF4074-2019, DK3014-2013, IF4072-2019, KU4071-2013, IF4021-2019, IF4071-2019"
13514011,"IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, DK3014-2013, IF4020-2013, IF4021-2013, ME4034-2013, AS2005-2013, AS2005-2013, KU4071-2013, KU4072-2013, KU4070-2013","DK4206-2013, KU4273-2013, IF4061-2013, IF4042-2013, IF2112-2013, DK3016-2013, IF4031-2013"
13514012,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, DK3014-2013, IF4041-2013, KU4182-2013, KU4273-2013, AS2005-2013, DK4212-2013","IF4033-2013, IF4050-2013, IF2112-2013, TI3004-2013, IF4020-2013, KU4079-2013, IF4150-2019"
13514013,"IF4071-2013, II4022-2013, KU2065-2013, KU4078-2013, DK3014-2013, DK3016-2013, IF4033-2013, IF4040-2013, IF4041-2013, AS2005-2013","IF4042-2013, IF2112-2013, IF4072-2013, KU4079-2013, IF4031-2013, IF4021-2013, IF4061-2013"
13514014,"IF4072-2013, KU2061-2013, IF4020-2013, IF4033-2013, IF4040-2013, IF4041-2013, IF4073-2013, AS2005-2013, IF4050-2013, KU4071-2013, KU4072-2013","IF4031-2013, IF2112-2013, IF4071-2013, DK4206-2013, TI3004-2013, DK3014-2013, KU4079-2013, KU4078-2013, KU4273-2013, IF4061-2013, KU2062-2013, IF4043-2013, KU2065-2013, IF4150-2019, IF4074-2019, KU2063-2013, BI2001-2013, DK3016-2013, IF4070-2013, IF4021-2013, KU4012-2013, IF4072-2019, KU4182-2013, TL2105-2013, KU4095-2013, KU4183-2013, TL4103-2013, TL4002-2013, IF4071-2019, IF4043-2019, IF4031-2019, IF4061-2019, IF4042-2013, IF3159-2019, IF4041-2019, BI2001-2019, IF4052-2019, IF4021-2019"
13514015,"IF4031-2013, IF4043-2013, IF4071-2013, KU2062-2013, KU4078-2013, DK3014-2013, IF4061-2013, KU4273-2013, AS2005-2013, IF4050-2013","KU4079-2013, KU2061-2013, IF4033-2013, IF2112-2013, IF4072-2013, IF4041-2013, TI3004-2013"
13514016,"IF4043-2013, IF4070-2013, II4033-2013, KU2063-2013, KU2063-2013, TL2105-2013, DK3016-2013, DK4206-2013, IF4040-2013, IF4061-2013, IF4073-2013, AS2005-2013","KU4273-2013, IF4071-2013, KU4072-2013, IF4072-2013, IF4021-2013, IF4042-2013, IF2112-2013"
13514017,"IF4031-2013, IF4071-2013, IF4072-2013, KU2065-2013, DK3014-2013, IF4033-2013, AS2005-2013, IF4050-2013, TI3004-2013, KU4072-2013","IF2112-2013, KU2061-2013, DK4206-2013, IF4041-2013, KU4273-2013, KU4079-2013, IF4061-2013"
13514018,"IF4043-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4079-2013, DK3014-2013, IF4061-2013, KU4273-2013, AS2005-2013, KU4291-2013","KU4078-2013, IF4031-2013, IF4033-2013, KU4094-2013, IF4042-2013, IF2112-2013, IF4050-2013"
13514019,"IF4031-2013, IF4070-2013, IF4072-2013, KU2061-2013, KU4078-2013, KU4079-2013, KU4184-2013, DK3016-2013, IF4020-2013, IF4061-2013, AS2005-2013, IF4150-2019","KU4182-2013, IF4041-2019, IF4074-2019, DK3014-2013, IF4072-2019, KU4071-2013, IF4071-2013, IF2112-2013, KU4183-2013, IF4043-2019, IF4033-2013, IF4051-2019, IF4031-2019, IF4050-2013, KU2062-2013, IF4071-2019, IF4061-2019, IF4021-2013, IF4042-2013, IF4021-2019, IF4073-2019, KU4078-2019, DK3014-2019, IF4070-2019, KU4094-2013, BI2001-2013, TL2105-2013, IF4041-2013, IF4073-2013, IF4043-2013, KU4072-2013, KU4273-2013, TI3004-2013, DK4206-2013, IF4052-2019, IF4044-2019, TL4103-2013, KU4012-2013, IF4040-2013, KU2065-2013, II4062-2013, KU2063-2013, KU4095-2013, KU4072-2019, KU4070-2019, TL4002-2013, IF3159-2019, IF4033-2019, BI2001-2019"
13514020,"BI2001-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2061-2013, DK4206-2013, IF4040-2013, IF4073-2013, KU4225-2013, IF4051-2013","KU4094-2013, KU4072-2013, AS2005-2013, IF4061-2013, IF4050-2013, IF4021-2013, DK3016-2013"
13514021,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, IF4020-2013, IF4041-2013, AS2005-2013, TI3004-2013, MA3182-2013, DK4212-2013","IF4033-2013, IF4050-2013, IF2112-2013, DK3014-2013, KU4079-2013, KU4078-2013, IF4073-2013"
13514022,"IF4071-2013, KU2061-2013, KU4193-2013, DK3014-2013, DK3016-2013, DK4206-2013, IF4040-2013, IF4061-2013, AS2005-2013, IF4051-2013","IF4042-2013, IF2112-2013, IF4072-2013, KU4072-2013, IF4073-2013, IF4021-2013, IF4070-2013"
13514023,"IF4031-2013, IF4043-2013, IF4071-2013, KU2063-2013, DK3014-2013, IF4061-2013, KU4273-2013, AS2005-2013, IF4050-2013, KU4072-2013","IF4072-2013, DK4206-2013, IF4033-2013, IF2112-2013, KU2061-2013, KU4079-2013, TI3004-2013"
13514024,"IF4031-2013, IF4043-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4172-2013, DK3014-2013, AS2005-2013, TI3004-2013, IF4051-2013","KU4273-2013, IF4061-2013, IF4033-2013, IF4050-2013, IF2112-2013, IF4041-2013, IF4020-2013"
13514025,"IF4043-2013, IF4070-2013, IF4071-2013, IF4072-2013, IF5192-2013, KU2061-2013, IF4020-2013, IF4021-2013, KU4225-2013, AS2005-2013, FI2104-2013","KU4273-2013, IF4061-2013, IF4031-2013, KU4094-2013, DK3014-2013, IF2112-2013, KU4079-2013, KU4078-2013, IF4042-2013, IF4033-2013, IF4073-2013, IF4050-2013, DK4206-2013, IF4041-2013, TI3004-2013, KU4072-2013, DK3016-2013, KU2063-2013, KU2062-2013, IF4040-2013, KU2065-2013, BI2001-2013, KU4012-2013, KU4070-2013, KU4182-2013, TL2105-2013, KU4095-2013, TL4002-2013, KU4071-2013, KU4183-2013, IF4150-2019, IF4072-2019, IF4074-2019, IF4071-2019, TL4103-2013, IF4043-2019, IF4031-2019, IF4061-2019, IF3159-2019, IF4041-2019, BI2001-2019, IF4052-2019, IF4021-2019"
13514026,KU2061-2013,"KU4078-2013, IF4031-2013, AS2005-2013, IF4020-2013, IF3159-2019, IF4074-2019, IF4061-2013"
13514027,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, DK3014-2013, IF4033-2013, IF4041-2013, KU4182-2013, AS2005-2013, TI3004-2013","IF4050-2013, IF2112-2013, IF4020-2013, KU4273-2013, KU4079-2013, IF4150-2019, KU4078-2013"
13514028,"IF4071-2013, IF4072-2013, KU2065-2013, DK3014-2013, DK4206-2013, IF4021-2013, IF4061-2013, KU4273-2013, AS2005-2013, KU4072-2013","IF4043-2013, IF4042-2013, IF2112-2013, DK3016-2013, IF4073-2013, KU2061-2013, IF4070-2013"
13514029,"IF4031-2013, IF4071-2013, IF4072-2013, KU2065-2013, DK4206-2013, IF4033-2013, IF4040-2013, IF4041-2013, AS2005-2013, TI3004-2013, KU4071-2013, KU4072-2013","IF4073-2013, KU2061-2013, IF4050-2013, IF2112-2013, DK3014-2013, KU4079-2013, IF4061-2013"
13514030,"IF4070-2013, KU2061-2013, KU4075-2013, DK3016-2013, IF4020-2013, IF4021-2013, IF4040-2013, IF4073-2013, KU4294-2013, KU4074-2013, AS2005-2013, KU4071-2013, KU4071-2013","IF4042-2013, IF2112-2013, DK3014-2013, IF4071-2013, IF4072-2013, IF4061-2013, KU4094-2013"
13514031,"IF4070-2013, IF4071-2013, KU2062-2013, IF4020-2013, IF4041-2013, KU4182-2013, MA2281-2013, AS2005-2013, IF4050-2013, MA3051-2013","IF4031-2013, IF4072-2013, KU2061-2013, TI3004-2013, IF4150-2019, IF4041-2019, DK3014-2013"
13514032,"BI2001-2013, IF4071-2013, KU2061-2013, KU4078-2013, DK3016-2013, IF4041-2013, IF4061-2013, II4062-2013, IF4050-2013, TI3004-2013, MB4044-2013, DP3111-2013","IF4033-2013, IF4031-2013, IF2112-2013, DK3014-2013, IF4072-2013, IF4042-2013, AS2005-2013"
13514033,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4078-2013, KU4079-2013, IF4033-2013, IF4041-2013, AS2005-2013, TI3004-2013, KU4070-2013","IF4050-2013, IF2112-2013, IF4020-2013, DK3014-2013, IF4043-2013, IF4061-2013, KU4072-2013"
13514034,"BI2001-2013, IF4031-2013, IF4043-2013, IF4070-2013, KU2061-2013, IF4021-2013, IF4033-2013, IF4040-2013, IF4041-2013, IF4050-2013, MK3011-2013, IF4051-2013","IF2112-2013, KU4094-2013, DK3014-2013, AS2005-2013, IF4020-2013, KU4079-2013, KU4273-2013, IF4061-2013, TI3004-2013, KU4078-2013, IF4071-2013, IF4042-2013, IF4072-2013, DK3016-2013, IF4073-2013, KU2063-2013, KU2062-2013, KU4012-2013, KU4072-2013, IF4150-2019, KU4078-2019, KU2065-2013, DK4206-2013, TL2105-2013, IF4043-2019, KU4095-2013, TL4002-2013, IF4041-2019, KU4182-2013, TL4103-2013, IF4074-2019, KU4183-2013, IF3159-2019, BI2001-2019, IF4061-2019, IF4072-2019, IF4031-2019, IF4052-2019, IF4071-2019, IF4021-2019"
13514035,"IF4070-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4184-2013, KU4193-2013, TI3005-2013, IF4020-2013, IF4033-2013, AS2005-2013, KU4291-2013, MK3011-2013","IF4031-2013, IF4050-2013, IF2112-2013, KU4094-2013, KU4079-2013, KU4078-2013, DK3014-2013"
13514036,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, DK3014-2013, IF4020-2013, IF4041-2013, KU4182-2013, AS2005-2013, TI3004-2013","IF4033-2013, IF4050-2013, IF2112-2013, KU4273-2013, KU4079-2013, IF4150-2019, KU4078-2013"
13514037,"IF4043-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4078-2013, DK4206-2013, IF4041-2013, AS2005-2013, KU4072-2013","KU4273-2013, IF4061-2013, IF4073-2013, TI3004-2013, KU4079-2013, IF4031-2013, KU4094-2013"
13514038,"BI2001-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2063-2013, TL4002-2013, DK3016-2013, IF4061-2013, KU4183-2013, IF4050-2013, TI3004-2013, KU4291-2013","DK3014-2013, IF2112-2013, IF4042-2013, AS2005-2013, IF4041-2013, IF4021-2013, IF4031-2013"
13514039,"IF4031-2013, IF4071-2013, IF4072-2013, KU2061-2013, KU4079-2013, KU4172-2013, DK3014-2013, IF4033-2013, AS2005-2013, IF4050-2013, KU4070-2013","IF2112-2013, KU4078-2013, IF4020-2013, KU4273-2013, IF4043-2013, TI3004-2013, IF4061-2013"
13514040,"IF4043-2013, IF4072-2013, KU2065-2013, DK3014-2013, DK4206-2013, IF4041-2013, IF4061-2013, AS2005-2013, TI3004-2013, DP3111-2013","KU4273-2013, IF4071-2013, KU4072-2013, IF4073-2013, KU2061-2013, IF4050-2013, KU4079-2013"
13514041,"IF4031-2013, IF4043-2013, KU2062-2013, KU4193-2013, DK3014-2013, IF4041-2013, IF4061-2013, KU4273-2013, AS2005-2013, IF4050-2013, TI3004-2013","IF4071-2013, IF4072-2013, IF4033-2013, IF2112-2013, KU2061-2013, KU4079-2013, KU4078-2013"
13514042,"IF4071-2013, IF4072-2013, KU2065-2013, KU4078-2013, KU4095-2013, KU4172-2013, DK3014-2013, IF4020-2013, IF4021-2013, KU4273-2013, MA2281-2013, AS2005-2013, MA3182-2013","IF4042-2013, IF2112-2013, DK3016-2013, IF4031-2013, KU2061-2013, IF4061-2013, KU4079-2013"
13514043,"IF4031-2013, IF4071-2013, KU2062-2013, KU4078-2013, DK3014-2013, IF4033-2013, IF4061-2013, AS2005-2013, IF4050-2013, TI3004-2013","IF2112-2013, KU2061-2013, KU4079-2013, IF4041-2013, IF4072-2013, KU4273-2013, KU4072-2013"
13514044,"IF4031-2013, IF4071-2013, KU2061-2013, DK3016-2013, DK4206-2013, IF4020-2013, IF4061-2013, AS2005-2013, IF4050-2013, KU4072-2013","IF4033-2013, IF2112-2013, DK3014-2013, IF4072-2013, IF4042-2013, IF4073-2013, IF4021-2013"
13514045,"IF4043-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2062-2013, KU4078-2013, KU4079-2013, DK3014-2013, DK3016-2013, IF4041-2013, IF4061-2013, KU4294-2013, AS2005-2013, TI3004-2013","IF4042-2013, IF2112-2013, KU4273-2013, IF4021-2013, IF4031-2013, KU2061-2013, IF4033-2013"
13514046,"IF4031-2013, IF4043-2013, IF4071-2013, KU2061-2013, KU4012-2013, KU4078-2013, KU4079-2013, DK3014-2013, DK3016-2013, DK4206-2013, IF4021-2013, AS2005-2013","IF4042-2013, IF2112-2013, IF4072-2013, KU4072-2013, IF4033-2013, KU4273-2013, IF4061-2013"
13514047,"IF4031-2013, IF4043-2013, IF4071-2013, KU2065-2013, KU4078-2013, KU4095-2013, DK3014-2013, DK3016-2013, IF4041-2013, IF4061-2013, KU4273-2013, ME4034-2013, AS2005-2013, ME4014-2013","IF4042-2013, IF2112-2013, IF4072-2013, KU4079-2013, KU2061-2013, IF4033-2013, IF4021-2013"
13514048,"IF4071-2013, IF4072-2013, KU2061-2013, KU4078-2013, DK3014-2013, DK3016-2013, IF4041-2013, IF4061-2013, KU4273-2013, AS2005-2013, TI3004-2013","IF4042-2013, IF2112-2013, IF4043-2013, IF4021-2013, KU4079-2013, IF4031-2013, IF4070-2013"
13514049,"IF4071-2013, IF4072-2013, KU2061-2013, KU4095-2013, DK3014-2013, IF4041-2013, IF4061-2013, KU4183-2013, AS2005-2013, MA3051-2013","TI3004-2013, KU4273-2013, KU4079-2013, KU4078-2013, IF4031-2013, IF4150-2019, IF4061-2019, IF4074-2019, KU2062-2013, IF4043-2013, IF4071-2019, IF4073-2013, DK4206-2013, IF4072-2019, IF4041-2019, BI2001-2013, IF4020-2013, KU4072-2013, DK3016-2013, KU4012-2013, IF4050-2013, KU2065-2013, IF4033-2013, IF2112-2013, KU4182-2013, IF4043-2019, IF4070-2013, IF4040-2013, IF4021-2013, IF4042-2013, KU4070-2013, KU2063-2013, IF4031-2019, KU4071-2013, TL4103-2013, TL4002-2013, IF3159-2019, BI2001-2019, IF4052-2019, IF4021-2019"
